Final Reason,Date Key,% OOS Contribution
Lost Stock,16 Feb 2025,0.0167690324
Demand Fluctuation,16 Feb 2025,0.002433208091
Add Listing Hub,16 Feb 2025,0.000901188182
Sourceback,16 Feb 2025,0.001878630749
PO Deleted,16 Feb 2025,0.001005171434
Late Open PO,16 Feb 2025,0.0003674074896
RL Deleted,16 Feb 2025,0.0007001538952
Late Req Inb Date,16 Feb 2025,0.001261663455
Kurang Order,16 Feb 2025,0.001247799021
Late Campaign Submission,16 Feb 2025,0.00004159330071
Transfer to bad stock,16 Feb 2025,0.001005171434
Lost Stock,17 Feb 2025,0.02023761995
Add Listing Hub,17 Feb 2025,0.001239037956
Sourceback,17 Feb 2025,0.001789721492
Demand Fluctuation,17 Feb 2025,0.003565675895
Late Open PO,17 Feb 2025,0.000413012652
PO Deleted,17 Feb 2025,0.001610749343
Kurang Order,17 Feb 2025,0.0009292784669
Late Campaign Submission,17 Feb 2025,0.0005024987265
Late Req Inb Date,17 Feb 2025,0.002106364525
RL Deleted,17 Feb 2025,0.0000206506326
Transfer to bad stock,17 Feb 2025,0.0009223949227
Kurang order,17 Feb 2025,0.0001789721492
Lost Stock,12 Feb 2025,0.01522452148
PO Deleted,12 Feb 2025,0.001090962495
Demand Fluctuation,12 Feb 2025,0.002314798627
Sourceback,12 Feb 2025,0.001482590057
Late Open PO,12 Feb 2025,0.0007273083298
Add Listing Hub,12 Feb 2025,0.0006084213913
RL Deleted,12 Feb 2025,0.0009021420629
Late Req Inb Date,12 Feb 2025,0.001286776276
Kurang Order,12 Feb 2025,0.0005314945487
Transfer to bad stock,12 Feb 2025,0.0004196009595
Kurang order,12 Feb 2025,0.00001398669865
Lost Stock,15 Feb 2025,0.014636933
Add Listing Hub,15 Feb 2025,0.0006896984137
PO Deleted,15 Feb 2025,0.001100730802
Kurang order,15 Feb 2025,0.0001184330609
Demand Fluctuation,15 Feb 2025,0.001762562613
Sourceback,15 Feb 2025,0.002089995193
Late Open PO,15 Feb 2025,0.0006827317631
RL Deleted,15 Feb 2025,0.0007384649682
Late Req Inb Date,15 Feb 2025,0.001017130994
Kurang Order,15 Feb 2025,0.0005642987021
Transfer to bad stock,15 Feb 2025,0.001065897548
Lost Stock,14 Feb 2025,0.01704830353
Add Listing Hub,14 Feb 2025,0.0007451668617
Late Open PO,14 Feb 2025,0.0005919549836
PO Deleted,14 Feb 2025,0.00256281687
Demand Fluctuation,14 Feb 2025,0.001601760544
Sourceback,14 Feb 2025,0.001734079893
RL Deleted,14 Feb 2025,0.0006685609226
Kurang Order,14 Feb 2025,0.0005571341022
Transfer to bad stock,14 Feb 2025,0.0008565936821
Late Req Inb Date,14 Feb 2025,0.0008983787398
Late Campaign Submission,14 Feb 2025,0.00006964176277
Demand Fluctuation,13 Feb 2025,0.001721854305
Kurang Order,13 Feb 2025,0.0009132101778
Lost Stock,13 Feb 2025,0.01434646218
Late Open PO,13 Feb 2025,0.0005785988149
Add Listing Hub,13 Feb 2025,0.000711049146
RL Deleted,13 Feb 2025,0.0005646566748
PO Deleted,13 Feb 2025,0.001436040432
Late Req Inb Date,13 Feb 2025,0.001554548623
Sourceback,13 Feb 2025,0.001275705821
Transfer to bad stock,13 Feb 2025,0.00114325549
Kurang order,13 Feb 2025,0.00005576856047